,Name,Symbol,NSE symbol,URL
MILTON,3M India,MI42,MILTON,/india/stockpricequote/diversified/3mindia/MI42
AARTIDRUGS,Aarti Drugs,AD,AARTIDRUGS,/india/stockpricequote/pharmaceuticals/aartidrugs/AD
ABB,ABB India,ABB,ABB,/india/stockpricequote/infrastructuregeneral/abbindia/ABB
ADANIPORTS,Adani Ports,MPS,ADANIPORTS,/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS
ATGL,Adani Total Gas,ADG01,ATGL,/india/stockpricequote/gasdistribution/adanitotalgas/ADG01
ABFRL,Aditya Birla F,PFR,ABFRL,/india/stockpricequote/retail/adityabirlafashionretail/PFR
AIAENG,AIA Engineering,AIE01,AIAENG,/india/stockpricequote/castingsforgings/aiaengineering/AIE01
AJANTPHARM,Ajanta Pharma,AP22,AJANTPHARM,/india/stockpricequote/pharmaceuticals/ajantapharma/AP22
AKZOINDIA,Akzo Nobel,ICI,AKZOINDIA,/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI
AMRUTANJAN,Alembic,A08,AMRUTANJAN,/india/stockpricequote/pharmaceuticals/alembic/A08
APCOTEXIND,Alkem Lab,AL05,APCOTEXIND,/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05
ALKYLAMINE,Alkyl Amines,AAC,ALKYLAMINE,/india/stockpricequote/chemicals/alkylamineschemicals/AAC
AVSL,Alok Industries,AI54,AVSL,/india/stockpricequote/textilesweaving/alokindustries/AI54
AMARAJABAT,Amara Raja Batt,ARB,AMARAJABAT,/india/stockpricequote/autoancillaries/amararajabatteries/ARB
AMBER,Amber Enterpris,AEI01,AMBER,/india/stockpricequote/miscellaneous/amberenterprisesindialimited/AEI01
APLAPOLLO,APL Apollo,BT09,APLAPOLLO,/india/stockpricequote/steeltubespipes/aplapollotubes/BT09
APOLLOHOSP,Apollo Hospital,AHE,APOLLOHOSP,/india/stockpricequote/hospitalsmedicalservices/apollohospitalsenterprises/AHE
APTECHT,Apollo Tyres,AT14,APTECHT,/india/stockpricequote/tyres/apollotyres/AT14
ASHOKLEY,Ashok Leyland,AL,ASHOKLEY,/india/stockpricequote/autolcvshcvs/ashokleyland/AL
ASHOKA,Ashoka Buildcon,AB,ASHOKA,/india/stockpricequote/constructioncontractingcivil/ashokabuildcon/AB
ASTERDM,Aster DM Health,ADH,ASTERDM,/india/stockpricequote/diversified/asterdmhealthcareltd/ADH
ASTRAL,Astral Ltd,APT02,ASTRAL,/india/stockpricequote/plastics/astrallimited/APT02
ATUL,Atul,A06,ATUL,/india/stockpricequote/chemicals/atul/A06
AUROPHARMA,Aurobindo Pharm,AP,AUROPHARMA,/india/stockpricequote/pharmaceuticals/aurobindopharma/AP
AVANTIFEED,Avanti Feeds,AF21,AVANTIFEED,/india/stockpricequote/aquaculture/avantifeeds/AF21
ALMONDZ,Avenue Supermar,AS19,ALMONDZ,/india/stockpricequote/retail/avenuesupermarts/AS19
BAJAJELEC,Bajaj Electric,BE,BAJAJELEC,/india/stockpricequote/domesticappliances/bajajelectricals/BE
BAJFINANCE,Bajaj Finance,BAF,BAJFINANCE,/india/stockpricequote/financeleasinghirepurchase/bajajfinance/BAF
BAJAJFINSV,Bajaj Finserv,BF04,BAJAJFINSV,/india/stockpricequote/financeinvestments/bajajfinserv/BF04
